分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 1, IPv4: 19, IPv6: 0, 最小延迟: 513 ms, 最高速率: 6.41 M/s, 平均速率: 6.41 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广西卫视, 有效: 2, IPv4: 29, IPv6: 0, 最小延迟: 1169 ms, 最高速率: 1.26 M/s, 平均速率: 1.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 1, IPv4: 25, IPv6: 0, 最小延迟: 216 ms, 最高速率: 15.02 M/s, 平均速率: 15.02 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 海南卫视, 有效: 1, IPv4: 21, IPv6: 0, 最小延迟: 2000 ms, 最高速率: 0.52 M/s, 平均速率: 0.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河北卫视, 有效: 1, IPv4: 24, IPv6: 0, 最小延迟: 176 ms, 最高速率: 18.46 M/s, 平均速率: 18.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 43.75, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河南卫视, 有效: 2, IPv4: 31, IPv6: 0, 最小延迟: 33 ms, 最高速率: 35.94 M/s, 平均速率: 26.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 1, IPv4: 23, IPv6: 0, 最小延迟: 270 ms, 最高速率: 19.43 M/s, 平均速率: 19.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 2, IPv4: 33, IPv6: 0, 最小延迟: 556 ms, 最高速率: 2.47 M/s, 平均速率: 2.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江西卫视, 有效: 1, IPv4: 31, IPv6: 0, 最小延迟: 237 ms, 最高速率: 13.79 M/s, 平均速率: 13.79 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.29, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 3, IPv4: 27, IPv6: 0, 最小延迟: 58 ms, 最高速率: 19.76 M/s, 平均速率: 8.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 0, IPv4: 22, IPv6: 0, 最小延迟: 207 ms, 最高速率: 9.79 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 0, IPv4: 20, IPv6: 0, 最小延迟: 184 ms, 最高速率: 14.45 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 青海卫视, 有效: 1, IPv4: 19, IPv6: 0, 最小延迟: 254 ms, 最高速率: 13.09 M/s, 平均速率: 13.09 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山东卫视, 有效: 1, IPv4: 25, IPv6: 0, 最小延迟: 269 ms, 最高速率: 14.67 M/s, 平均速率: 14.67 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山西卫视, 有效: 0, IPv4: 22, IPv6: 0, 最小延迟: 1405 ms, 最高速率: 0.16 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 2, IPv4: 27, IPv6: 0, 最小延迟: 219 ms, 最高速率: 15.16 M/s, 平均速率: 14.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 四川卫视, 有效: 1, IPv4: 35, IPv6: 0, 最小延迟: 365 ms, 最高速率: 13.98 M/s, 平均速率: 13.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
